set,dt_collect,pond,ec_mpn,ecoli,hf183,phage,hfi,building,week,temp,cond,turb,do,ph,rain2,rain7,solar2,solar7,wind2,wind7
train,2020-10-20,B2,3.1,0,0,0,0,0,43,21.55,155.1,4.205,9.8025,8.425,0,0,646.17,1536.21,7.1,17.6
train,2020-11-03,B2,5.2,0,0,0,0,0,45,17.1,140.725,3.975,9.6225,8.39,0,0,584.56,1032.75,11.1,27.4
train,2020-11-17,B2,2,0,0,0,0,0,47,18.325,148.85,7.5775,7.54,8.315,0,0,439.01,1029.6,8.3,19.9
train,2020-12-14,B2,37.3,0,0,0,0,0,51,15.575,140.45,0.9475,9.2025,8.195,0.03,0,337.52,1231.96,4,14.9
train,2021-01-25,B2,1,0,0,0,0,0,4,14.475,106.3,1.2525,10.1975,8.525,0,0.67,433.8,958.63,6,12.7
train,2021-02-11,B2,66.3,0,0,0,0,0,6,17.075,91.875,5.865,9.7425,7.83,0,1.29,147.65,899.74,5.3,18.7
train,2021-03-03,B2,727,1,0,0,0,0,9,13.475,68.8,29.375,8.845,7.89,1.81,0.24,127.32,1571.81,9,9.8
train,2021-03-16,B2,1,0,0,0,0,0,11,19.9,85,2.8825,9.3675,8.755,0,0,685.23,2000.74,4.1,13
train,2021-04-06,B2,2,0,0,0,0,0,14,18.175,122.475,2.205,8.085,9.04,0,0.56,1020.41,2351.82,3.2,29.5
train,2021-04-26,B2,5.2,0,1,0,1,0,17,19.05,99.195,62.935,8.035,8.5475,0.01,5.46,577.99,2509.1,12,21.8
train,2021-05-10,B2,5.2,0,0,0,0,0,19,24.25,118.6,4.8825,8.63,8.515,0,0.89,1100.78,2184.95,5.3,21.4
train,2021-05-25,B2,1,0,0,0,0,0,21,26.7,128.225,6.0725,9.31,9.095,0,0,1168.31,2558.57,3.4,30.7
train,2021-06-09,B2,28.8,0,0,0,0,0,23,27.425,133.3,6.735,7.2725,8.7775,0.4,1.45,768.88,2095.28,6.4,12.7
train,2021-06-29,B2,3,0,0,0,0,0,26,29.25,147.975,19.74,7.69,8.345,1.04,0.01,675.03,1951.16,6.3,17.7
train,2021-07-20,B2,24.1,0,1,0,1,0,29,28.5,145,11.175,6.1,8.675,0.4,0.18,737.6,2232.9,3.8,9.2
train,2021-07-29,B2,40.8,0,0,0,0,0,30,29.35,127.5,6.9,6.575,9.9,0.07,2.64,828.3887755,1911,4.709183674,9.7
train,2021-08-11,B2,36.4,0,0,0,0,0,32,28.775,131.75,10.0375,7.6825,8.61,1.15,0.12,828.2143817,2287.4890207,6.004388109,13.069383821
train,2021-08-28,B2,35,0,0,0,0,0,34,28.325,118.075,15.19,5.4625,8.8,0.18,0.07,908.2,2390,6.8,12.1
train,2021-09-12,B2,8.6,0,0,0,0,0,36,26.8,112.425,10.21,5.7875,9.55,0.01,0.03,1099.4,2294.4,6.8,9.6
train,2021-09-26,B2,6.3,0,0,0,0,0,38,23.875,115.175,6.7225,4.41,10.21,0.01,0.78,1051.6,1935.9,4.4,15.6
train,2021-10-11,B2,14.5,0,0,0,0,0,41,24.225,120.375,0,5.03,7.805,0,0.74,764.8,1099.4,6.4,12.8
train,2021-10-25,B2,15.8,0,0,0,0,0,43,21.425,114.9333333,1.61,8.8075,8.3325,0.05,0.01,764.8,2007.6,4.2,9.6
train,2021-11-01,B2,28.8,0,0,0,0,0,44,17.325,99.825,0.796666667,8.425,8.1925,0,1.55,382.4,1601.3,7.7,18.4
train,2021-11-15,B2,12.1,0,0,0,0,0,46,14.475,87.2,30.09,9.505,9.4425,0,0.01,764.8,1840.3,6.7,9.7
train,2021-12-04,B2,1,0,0,0,0,0,48,13.35,86.4,2.3,10.5325,7.8725,0,0.01,645.3,1434,3.3,10.1
train,2021-12-15,B2,150,1,0,0,0,0,50,14.4,73.275,0.8475,9.6475,9.24,0,0.04,478,932.1,3.4,16.6
train,2020-09-21,B3,30.9,0,0,0,0,0,39,23.675,285.475,12.325,11.2225,7.9825,0.01,0,324.67,697.42,10.9,26.9
train,2020-10-06,B3,7.4,0,0,0,0,0,41,21.2,672,8.6825,8.4375,7.53,0,0,632.91,1640.76,6.7,17.3
train,2020-10-20,B3,6.3,0,0,0,0,0,43,22.1,446.775,3.7675,8.035,7.6025,0,0,646.17,1536.21,7.1,17.6
train,2020-11-03,B3,24.6,0,0,0,0,0,45,14.675,247.925,12.11,8.5,7.7275,0,0,584.56,1032.75,11.1,27.4
train,2020-11-17,B3,3.1,0,0,0,0,0,47,15.725,227.875,5.33,9.74,8.1175,0,0,439.01,1029.6,8.3,19.9
train,2020-12-14,B3,1,0,0,0,0,0,51,16.85,329.05,3.1,7.105,7.9675,0.02,0,337.52,1231.96,4,14.9
train,2021-01-25,B3,9.8,0,0,0,0,0,4,14.6,237.625,4.8875,11.1425,8.61,0,0.71,433.8,958.63,6,12.7
train,2021-02-11,B3,410.6,1,0,0,0,0,6,13.725,103.725,252.86,8.8975,8.195,0,2.53,147.65,899.74,5.3,18.7
train,2021-03-03,B3,2419.6,1,1,0,1,0,9,11.425,84.65,100.225,9.0625,7.6725,2.27,0.79,127.32,1571.81,9,9.8
train,2021-03-16,B3,1,0,0,0,0,0,11,20.8,228.875,4.715,10.185,8.3875,0,0,685.23,2000.74,4.1,13
train,2021-04-06,B3,1,0,0,0,0,0,14,17.85,319.275,11.0525,13.5725,8.94,0,0.42,1020.41,2351.82,3.2,29.5
train,2021-04-26,B3,52.1,0,0,0,0,0,17,24.025,188.75,288.44,6.8175,7.9225,0.07,1.87,577.99,2509.1,12,21.8
train,2021-05-10,B3,1,0,0,0,0,0,19,23.8,295.275,30.2325,15.52,10.1525,0,0.18,1100.78,2184.95,5.3,21.4
train,2021-05-25,B3,11,0,0,0,0,0,21,28.525,189.2675,12.75,10.1875,9.125,0,0,1168.31,2558.57,3.4,30.7
train,2021-06-09,B3,2419.6,1,0,0,0,0,23,26.325,171.2,216.9475,8.3575,8.31,2.13,0.66,768.88,2095.28,6.4,12.7
train,2021-06-29,B3,6.3,0,0,0,0,0,26,28.275,245.75,59.9675,11.755,8.895,0.3,0.7,675.03,1951.16,6.3,17.7
train,2021-07-20,B3,12.2,0,0,0,0,0,29,27.775,279.25,31.025,4.9,8,0.06,0.33,737.6,2232.9,3.8,9.2
train,2021-07-29,B3,231,1,0,0,0,0,30,28.775,283.675,54.05,7.85,8.375,0.08,0.34,828.3887755,1911,4.709183674,9.7
train,2021-08-11,B3,14.16,0,0,0,0,0,32,28.075,60.125,12.065,7.3725,7.8775,0.05,0.54,828.2143817,2287.4890207,6.004388109,13.069383821
train,2021-09-12,B3,16,0,0,0,0,0,36,25.85,340.85,34.525,7.8875,9.5525,0.01,0.18,1099.4,2294.4,6.8,9.6
train,2021-09-26,B3,1,0,0,0,0,0,38,22.45,274.125,9.57,10.595,11.245,0.04,0,1051.6,1935.9,4.4,15.6
train,2021-10-11,B3,36.8,0,0,0,0,0,41,22.75,238.025,14.43,5.6875,7.3975,0.03,0,764.8,1099.4,6.4,12.8
train,2021-10-25,B3,3.1,0,0,0,0,0,43,21.3625,262.325,65.935,10.8525,9.245,0.17,0.01,764.8,2007.6,4.2,9.6
train,2021-11-01,B3,7.4,0,0,0,0,0,44,15.575,211.95,34.6325,8.915,8.3875,0.03,1.42,382.4,1601.3,7.7,18.4
train,2021-11-15,B3,13.2,0,0,0,0,0,46,13.525,249.15,17.74333333,11.055,9.4,0.01,0.03,764.8,1840.3,6.7,9.7
train,2021-12-04,B3,1,0,1,0,1,0,48,14.675,224.35,4.43,10.76,8.495,0,0,645.3,1434,3.3,10.1
train,2021-12-15,B3,101.7,0,0,0,0,0,50,16.2,152.2875,54.415,12.1675,8.9675,0.02,0.29,478,932.1,3.4,16.6
train,2020-09-21,B4,116,0,1,0,1,1,39,23.025,226.4,73.725,12.1825,8.67,0.01,0,324.67,697.42,10.9,26.9
train,2020-10-06,B4,148.3,1,0,0,0,1,41,20.5,227.425,23.0175,8.285,8.1375,0,0,632.91,1640.76,6.7,17.3
train,2020-10-20,B4,2,0,0,1,1,1,43,21.45,248.75,5.9525,7.0375,7.98,0,0,646.17,1536.21,7.1,17.6
train,2020-11-03,B4,29.5,0,0,0,0,1,45,15.65,215.25,6.6075,7.8625,7.825,0,0,584.56,1032.75,11.1,27.4
train,2020-11-17,B4,85.7,0,0,0,0,1,47,17.225,233.525,7.8625,9.8025,8.4,0,0,439.01,1029.6,8.3,19.9
train,2020-12-14,B4,95.9,0,1,0,1,1,51,14.4,247.025,3.8975,8.2825,8.355,0.02,0,337.52,1231.96,4,14.9
train,2021-01-25,B4,5.1,0,1,1,1,1,4,13.8,194.35,9.7925,10.4175,9.105,0,0.71,433.8,958.63,6,12.7
train,2021-02-11,B4,21.1,0,0,0,0,1,6,17.675,214.45,7.6725,11.2675,9.0425,0,2.53,147.65,899.74,5.3,18.7
train,2021-03-03,B4,1732.9,1,1,0,1,1,9,13.975,182.875,7.5225,7.5625,7.51,2.27,0.79,127.32,1571.81,9,9.8
train,2021-03-16,B4,124.6,0,0,0,0,1,11,19.65,223.95,51.13,10.7575,8.4775,0,0,685.23,2000.74,4.1,13
train,2021-04-06,B4,9.8,0,0,0,0,1,14,18.175,239.1,6.4375,8.9175,8.075,0,0.42,1020.41,2351.82,3.2,29.5
train,2021-04-26,B4,27.2,0,0,0,0,1,17,21.95,226.9,93.1025,9.375,8.235,0.07,1.87,577.99,2509.1,12,21.8
train,2021-05-10,B4,7.5,0,0,0,0,1,19,23.525,229.625,52.0275,8.165,9.145,0,0.18,1100.78,2184.95,5.3,21.4
train,2021-05-25,B4,63.3,0,0,1,1,1,21,27.675,258.85,30.18,8.71,8.7575,0,0,1168.31,2558.57,3.4,30.7
train,2021-06-09,B4,866.4,1,0,0,0,1,23,28.35,237.05,30.975,6.135,8.2875,2.13,0.66,768.88,2095.28,6.4,12.7
train,2021-06-29,B4,120.1,0,0,0,0,1,26,28.525,253.925,15.355,4.5875,8.2875,0.3,0.7,675.03,1951.16,6.3,17.7
train,2021-07-20,B4,98.8,0,0,0,0,1,29,28.475,252.5,21.9,5.5,8.25,0.06,0.33,737.6,2232.9,3.8,9.2
train,2021-07-29,B4,32.8,0,0,0,0,1,30,29.325,259.5,26.05,7.1,8.35,0.08,0.34,828.3887755,1911,4.709183674,9.7
train,2021-08-11,B4,686.7,1,0,0,0,1,32,27,252.05,12.22,4.7275,8.17,0.05,0.54,828.2143817,2287.4890207,6.004388109,13.069383821
train,2021-09-12,B4,35.9,0,0,0,0,1,36,25.675,268.675,45.9425,5.165,9.2975,0.01,0.18,1099.4,2294.4,6.8,9.6
train,2021-09-26,B4,107.6,0,0,0,0,1,38,23.1,247.025,9.9925,6.42,10.565,0.04,0,1051.6,1935.9,4.4,15.6
train,2021-10-11,B4,8.6,0,0,0,0,1,41,25.2,234.925,1.2125,5.595,7.5425,0.03,0,764.8,1099.4,6.4,12.8
train,2021-10-25,B4,1986.3,1,1,0,1,1,43,22.675,291.375,2.375,9.4125,8.5125,0.17,0.01,764.8,2007.6,4.2,9.6
train,2021-11-01,B4,28.5,0,0,0,0,1,44,18.125,253.225,14.0925,10.1175,8.62,0.03,1.42,382.4,1601.3,7.7,18.4
train,2021-11-15,B4,52.9,0,1,0,1,1,46,14.375,249.975,56.5375,9.12,8.58,0.01,0.03,764.8,1840.3,6.7,9.7
train,2021-12-04,B4,7.4,0,0,0,0,1,48,15.375,298.9,11.565,9.78,7.9525,0,0,645.3,1434,3.3,10.1
train,2021-12-15,B4,261.3,1,1,1,1,1,50,16.5,285.775,1.625,9.2675,8.59,0.02,0.29,478,932.1,3.4,16.6
test,2015-05-11,LV,1,0,1,0,1,1,20,25.8,203,3.9,12.115,8.28,0,0,1136.69,3279.09,4.7,18.2
test,2015-06-08,LV,26.2,0,0,0,0,1,24,28.325,240.5,8.25,8.075,7.98,0,0.12,995.01,2098.33,5.7,14.7
test,2015-06-15,LV,26.05,0,0,0,0,1,25,30.37,239,0,9.055,8.025,0,0.53,1045.4,1985.12,4.3,12.4
test,2015-07-06,LV,46.05,0,0,0,0,1,28,27.325,217.5,1.95,9.195,7.84,0.61,1.93,583.64,1945.75,5,14
test,2015-07-20,LV,15.4,0,0,0,0,1,30,30.3,235,0.85,16.29,7.735,1.71,4.14,826.91,2066.62,4.6,13.9
test,2015-08-10,LV,5.4,0,0,0,0,1,33,30.935,228.5,0.55,10.775,8.065,0,1.47,983.69,1868.64,5.9,14.7
test,2015-08-24,LV,28.7,0,1,0,1,1,35,28.48,236,1.3,6.71,7.625,1.5,0,690.03,1736.64,4.7,9.9
test,2015-08-31,LV,7.6,0,1,0,1,1,36,28.18,242.5,1.55,6.495,7.62,0.39,0.23,494.59,2006.65,6.3,14
test,2015-09-08,LV,27.7,0,1,0,1,1,37,26.68,248.5,1.6,7.595,7.465,0.35,0,551.21,1627.21,6.7,12.5
test,2015-09-28,LV,1,0,0,0,0,1,40,23.475,250.5,0.7,7.505,7.56,0,0.01,335.28,878.73,6.4,19.4
test,2015-10-05,LV,3.05,0,0,1,1,1,41,21.23,244,1.1,7.175,7.7,0.44,2.26,219.92,848.53,10,20.4
test,2015-10-19,LV,0,0,0,0,0,1,43,19.055,206.5,1.1,10.14,7.89,0,0.01,673.1,1586.31,10.6,11
test,2015-11-02,LV,46.95,0,0,0,0,1,45,22.345,200,1.45,9.555,7.945,1.45,0.15,308.04,894.64,9.3,22.5
test,2015-11-10,LV,13.95,0,1,1,1,1,46,18.65,197,0.5,7.245,7.555,0.31,1.55,53.63,749.09,11.7,15.8
test,2015-11-17,LV,1,0,1,0,1,1,47,17.365,193,0,13.35,8.14,0,0.01,503.37,1106.4,6.2,20.2
test,2015-12-07,LV,1,0,0,0,0,1,50,13.535,186,0.2,12.255,8.555,0,1.71,452.07,672.75,9.3,19.2
test,2016-01-11,LV,8.6,0,1,0,1,1,2,10.55,257.5,1.25,13.475,8.69,0,0.59,202.08,929.81,12.2,27.5
test,2016-02-08,LV,0,0,0,0,0,1,6,10.61,295.5,1.1,13.98,8.57,0.15,3.08,398.52,860.36,10.4,24.4
test,2016-02-17,LV,0,0,0,0,0,1,7,13.17,303,0.55,13.98,8.5,0.29,0.69,509.6,1424.53,11.3,24.9
test,2016-03-14,LV,0,0,0,0,0,1,11,21.655,237,0.55,10.31,8.155,0.03,0,540.91,1719.72,8.6,23.1
test,2016-03-28,LV,0,0,0,0,0,1,13,18.445,197.5,1.75,10.185,7.765,1.45,1.65,104.33,1400.55,7,17.1
test,2016-04-11,LV,0,0,0,0,0,1,15,19.045,235.5,0.85,11.385,8.795,0,0.12,892.91,2187.39,11.4,22.5
test,2016-05-02,LV,7.65,0,1,0,1,1,18,25.84,218.5,0.95,8.52,7.5,0.12,0,728.69,1998.07,7.5,15.5
test,2015-05-11,NP,5.2,0,0,0,0,1,20,28.1,72.5,32.3,14.25,8.19,0,0,1136.69,3279.09,4.7,18.2
test,2015-06-08,NP,9.9,0,0,0,0,1,24,29.085,74,10.4,10.32,8.8,0,0.12,995.01,2098.33,5.7,14.7
test,2015-06-15,NP,2.55,0,1,0,1,1,25,30.875,71,11,9.065,7.615,0,0.53,1045.4,1985.12,4.3,12.4
test,2015-07-06,NP,100.35,0,1,0,1,1,28,27.43,66,18.25,9.375,8.6,0.61,1.93,583.64,1945.75,5,14
test,2015-07-20,NP,11.05,0,1,0,1,1,30,31.09,67,8.65,15.18,7.325,1.71,4.14,826.91,2066.62,4.6,13.9
test,2015-08-10,NP,1.5,0,0,0,0,1,33,30.665,68.5,8.65,7.745,7.43,0,1.47,983.69,1868.64,5.9,14.7
test,2015-08-24,NP,1,0,0,0,0,1,35,30.04,71,8,6.495,6.895,1.5,0,690.03,1736.64,4.7,9.9
test,2015-09-08,NP,12.5,0,0,0,0,1,37,28.02,74,11.2,8.41,6.895,0.35,0,551.21,1627.21,6.7,12.5
test,2015-09-28,NP,12.3,0,1,0,1,1,40,23.785,81,11.05,9.145,6.89,0,0.01,335.28,878.73,6.4,19.4
test,2015-10-05,NP,411.25,1,0,1,1,1,41,21.895,79.5,17.75,7.13,6.78,0.44,2.26,219.92,848.53,10,20.4
test,2015-10-19,NP,5.9,0,0,0,0,1,43,20.4,77,12.1,9.475,7.1,0,0.01,673.1,1586.31,10.6,11
test,2015-11-02,NP,249.95,1,1,0,1,1,45,22.575,80,7.1,8.685,7.015,1.45,0.15,308.04,894.64,9.3,22.5
test,2015-11-10,NP,563.45,1,1,1,1,1,46,19.49,77,15.5,7.33,6.775,0.31,1.55,53.63,749.09,11.7,15.8
test,2015-11-17,NP,6.4,0,0,0,0,1,47,17.9,78.5,7.15,11.8,6.97,0,0.01,503.37,1106.4,6.2,20.2
test,2015-12-07,NP,81.7,0,1,0,1,1,50,14.4,74,12.95,9.95,7.355,0,1.71,452.07,672.75,9.3,19.2
test,2016-01-11,NP,29,0,0,0,0,1,2,11.595,72,20.8,11.64,7.41,0,0.59,202.08,929.81,12.2,27.5
test,2016-02-08,NP,229.35,1,0,0,0,1,6,10.715,67,94.2,11.36,7.48,0.15,3.08,398.52,860.36,10.4,24.4
test,2016-02-17,NP,57.9,0,0,0,0,1,7,12.14,66.5,53.5,12.315,7.3,0.29,0.69,509.6,1424.53,11.3,24.9
test,2016-03-14,NP,5.4,0,0,0,0,1,11,21.32,68,12.1,9.755,7.32,0.03,0,540.91,1719.72,8.6,23.1
test,2016-03-28,NP,87.5,0,1,0,1,1,13,18.215,65.5,17.6,9.88,6.82,1.45,1.65,104.33,1400.55,7,17.1
test,2016-04-11,NP,2,0,0,0,0,1,15,19.21,70,34.25,9.47,7.52,0,0.12,892.91,2187.39,11.4,22.5
test,2016-05-02,NP,1,0,0,0,0,1,18,26.765,70,14.15,9.925,7.755,0.12,0,728.69,1998.07,7.5,15.5
test,2015-05-11,SC,2,0,0,0,0,1,20,29.25,159,9.45,14.95,7.945,0,0,1136.69,3279.09,4.7,18.2
test,2015-06-08,SC,2.5,0,0,0,0,1,24,29.585,197.5,5.55,11.33,8.48,0,0.12,995.01,2098.33,5.7,14.7
test,2015-06-15,SC,1,0,0,0,0,1,25,31.31,203.5,2.4,11.085,8.5,0,0.53,1045.4,1985.12,4.3,12.4
test,2015-07-06,SC,11.55,0,0,0,0,1,28,28.19,205,8.15,7.845,7.735,0.61,1.93,583.64,1945.75,5,14
test,2015-07-20,SC,384.6,1,1,0,1,1,30,31.64,206,4.5,11.025,8.465,1.71,4.14,826.91,2066.62,4.6,13.9
test,2015-08-10,SC,8.65,0,0,0,0,1,33,31.035,203.5,5.3,8.84,8.255,0,1.47,983.69,1868.64,5.9,14.7
test,2015-08-24,SC,5.2,0,0,0,0,1,35,30.71,209.5,9.55,7.84,7.875,1.5,0,690.03,1736.64,4.7,9.9
test,2015-09-08,SC,21.8,0,0,0,0,1,37,27.98,224,12.45,8.97,7.6,0.35,0,551.21,1627.21,6.7,12.5
test,2015-09-28,SC,1,0,0,0,0,1,40,23.395,229.5,5,10.255,7.505,0,0.01,335.28,878.73,6.4,19.4
test,2015-10-05,SC,2.05,0,0,0,0,1,41,20.825,221.5,5.5,8.71,7.63,0.44,2.26,219.92,848.53,10,20.4
test,2015-10-19,SC,1,0,0,0,0,1,43,18.54,221,9.25,10.42,8.62,0,0.01,673.1,1586.31,10.6,11
test,2015-11-02,SC,13.85,0,0,0,0,1,45,23.345,244.5,11.55,7.78,7.3,1.45,0.15,308.04,894.64,9.3,22.5
test,2015-11-10,SC,20,0,1,1,1,1,46,17.74,237,13.5,7.06,7.17,0.31,1.55,53.63,749.09,11.7,15.8
test,2015-11-17,SC,7.65,0,1,0,1,1,47,17.49,242.5,9.5,10.325,7.26,0,0.01,503.37,1106.4,6.2,20.2
test,2015-12-07,SC,4.8,0,0,0,0,1,50,13.37,230,16,12.05,7.935,0,1.71,452.07,672.75,9.3,19.2
test,2016-01-11,SC,16.65,0,1,1,1,1,2,10.865,199.5,19.65,12.325,7.53,0,0.59,202.08,929.81,12.2,27.5
test,2016-02-08,SC,431,1,1,0,1,1,6,10.9,153,36.15,12.235,7.11,0.15,3.08,398.52,860.36,10.4,24.4
test,2016-02-17,SC,41.25,0,1,1,1,1,7,12.875,154,24.6,11.885,7.08,0.29,0.69,509.6,1424.53,11.3,24.9
test,2016-03-14,SC,6.3,0,0,0,0,1,11,21.57,144.5,14.95,9.695,7.1,0.03,0,540.91,1719.72,8.6,23.1
test,2016-03-28,SC,25.35,0,1,0,1,1,13,18.165,142,14,9.575,7.305,1.45,1.65,104.33,1400.55,7,17.1
test,2016-04-11,SC,3.05,0,0,0,0,1,15,19.79,110,26.6,10.205,7.08,0,0.12,892.91,2187.39,11.4,22.5
test,2016-05-02,SC,4.1,0,0,0,0,1,18,26.845,150,10.575,9.325,7.445,0.12,0,728.69,1998.07,7.5,15.5
